posicao;servico;score
1;SN878;100.0
2;SN298;70.638
3;SN848;69.625
4;SN550;58.983
5;SN312;53.039
6;SN846;48.39
7;SN565;39.707
8;SN393;37.44
9;SN397;36.563
10;SN133;35.487
11;SN629;31.569
12;SN554;31.091
13;SN353;30.359
14;SN954;30.344
15;SN232;28.38
16;SN790;26.247
17;SN861;26.11
18;SN779;25.552
19;SN803;25.411
20;SN302;23.696
21;SN363;23.583
22;SN884;21.909
23;SN309;21.425
24;SN731;19.791
25;SN867;19.757
26;864;17.229
27;SN685;16.32
28;SN600;15.385
29;SN415;14.679
30;SN457;14.361
31;SN636;14.294
32;SN238;13.469
33;SN399;13.224
34;SN880;12.603
35;SN368;11.392
36;SN794;10.347
37;SP315;9.873
38;SN810;9.823
39;SN388;8.889
40;SN639;8.343
41;380;8.268
42;422;8.171
43;SP485;7.81
44;LECD106;7.551
45;SN897;6.922
46;SV863;6.638
47;457;6.625
48;878;6.54
49;863;6.385
50;SP795;6.354
51;SPA483;6.317
52;LECD101;6.044
53;409;6.019
54;SPA550;5.718
55;639;5.665
56;SPB550;5.641
57;SN355;5.428
58;SP553;5.417
59;498;5.385
60;SP328;5.384
61;371;5.34
62;384;5.32
63;SP329;5.308
64;897;4.802
65;399;4.789
66;486;4.785
67;455;4.676
68;SPB326;4.63
69;309;4.593
70;338;4.573
71;323;4.481
72;796;4.358
73;349;4.353
74;826;4.282
75;629;4.258
76;298;4.202
77;846;4.052
78;788;4.037
79;946;4.017
80;539;3.972
81;507;3.933
82;SV692;3.93
83;SN624;3.86
84;798;3.778
85;SN007;3.753
86;550;3.709
87;688;3.676
88;837;3.463
89;900;3.383
90;435;3.37
91;898;3.368
92;871;3.367
93;794;3.351
94;653;3.332
95;217;3.332
96;950;3.324
97;830;3.301
98;163;3.247
99;SP803;3.169
100;917;3.166
101;628;3.162
102;324;3.162
103;SV624;3.162
104;SVB901;3.152
105;LECD91;3.123
106;296;3.089
107;485;3.075
108;181;3.053
109;838;3.05
110;665;3.038
111;LECD108;3.025
112;328;3.023
113;109;2.976
114;920;2.973
115;202;2.933
116;473;2.895
117;220;2.84
118;394;2.822
119;SP404;2.815
120;463;2.803
121;774;2.739
122;483;2.732
123;855;2.726
124;936;2.709
125;SV384;2.702
126;209;2.694
127;624;2.691
128;557;2.691
129;LECD99;2.68
130;107;2.641
131;SP801;2.634
132;771;2.594
133;LECD95;2.567
134;369;2.554
135;880;2.548
136;600;2.545
137;770;2.543
138;622;2.532
139;872;2.51
140;669;2.503
141;932;2.499
142;614;2.486
143;SV779;2.466
144;766;2.464
145;SV917;2.463
146;921;2.448
147;885;2.444
148;731;2.436
149;953;2.403
150;275;2.385
151;014;2.382
152;311;2.377
153;764;2.377
154;315;2.357
155;410;2.357
156;613;2.317
157;390;2.29
158;778;2.289
159;848;2.285
160;SR393;2.268
161;335;2.227
162;630;2.214
163;SP918;2.21
164;456;2.209
165;350;2.197
166;SP805;2.158
167;165;2.151
168;388;2.135
169;746;2.131
170;LECD90;2.116
171;611;2.113
172;433;2.097
173;167;2.091
174;954;2.086
175;201;2.082
176;SR397;2.065
177;634;2.053
178;SP324;2.048
179;342;2.041
180;721;2.008
181;627;1.996
182;812;1.991
183;383;1.973
184;918;1.965
185;841;1.965
186;SV831;1.955
187;910;1.949
188;851;1.941
189;779;1.912
190;831;1.899
191;553;1.887
192;361;1.872
193;LECD87;1.868
194;745;1.867
195;247;1.852
196;765;1.84
197;610;1.838
198;626;1.837
199;432;1.832
200;104;1.826
201;265;1.822
202;484;1.816
203;301;1.805
204;847;1.796
205;621;1.79
206;881;1.789
207;608;1.782
208;SP759;1.772
209;825;1.766
210;687;1.761
211;857;1.76
212;895;1.751
213;693;1.74
214;313;1.737
215;327;1.731
216;SN857;1.728
217;893;1.728
218;416;1.727
219;919;1.725
220;LECD103;1.723
221;SV878;1.708
222;865;1.699
223;LECD97;1.688
224;775;1.675
225;793;1.665
226;385;1.661
227;397;1.658
228;LECD92;1.655
229;940;1.642
230;232;1.64
231;SR399;1.638
232;326;1.635
233;711;1.622
234;990;1.615
235;006;1.615
236;133;1.606
237;901;1.599
238;238;1.597
239;SV777;1.596
240;802;1.595
241;759;1.593
242;SP309;1.557
243;474;1.554
244;LECD102;1.532
245;803;1.522
246;100;1.52
247;678;1.519
248;LECD100;1.517
249;SPB483;1.514
250;817;1.504
251;229;1.5
252;753;1.494
253;476;1.482
254;623;1.475
255;650;1.47
256;117;1.456
257;692;1.448
258;007;1.438
259;378;1.437
260;LECD98;1.436
261;691;1.43
262;312;1.43
263;SP635;1.426
264;SR384;1.414
265;636;1.403
266;819;1.402
267;754;1.383
268;869;1.371
269;712;1.358
270;SV474;1.358
271;SP343;1.35
272;513;1.343
273;552;1.343
274;292;1.342
275;343;1.319
276;SP810;1.318
277;805;1.314
278;829;1.313
279;SV112;1.301
280;606;1.299
281;362;1.287
282;922;1.282
283;835;1.281
284;928;1.277
285;607;1.27
286;LECD96;1.264
287;325;1.26
288;905;1.259
289;329;1.235
290;791;1.218
291;SVB665;1.215
292;696;1.189
293;254;1.173
294;862;1.159
295;368;1.156
296;SR300;1.144
297;348;1.141
298;393;1.136
299;849;1.134
300;SV866;1.133
301;804;1.128
302;625;1.119
303;616;1.109
304;386;1.108
305;249;1.081
306;SV391;1.08
307;492;1.068
308;472;1.063
309;497;1.06
310;239;1.054
311;913;1.054
312;448;1.05
313;840;1.047
314;SV922;1.039
315;439;1.028
316;353;0.999
317;845;0.999
318;SR362;0.995
319;951;0.969
320;842;0.968
321;867;0.96
322;LECD93;0.943
323;883;0.934
324;157;0.932
325;SV363;0.928
326;108;0.922
327;SPA613;0.912
328;565;0.91
329;SVA665;0.907
330;861;0.887
331;355;0.867
332;SVB685;0.848
333;555;0.83
334;554;0.827
335;926;0.812
336;210;0.8
337;SV774;0.795
338;LECD109;0.783
339;013;0.768
340;SR342;0.765
341;306;0.744
342;300;0.741
343;638;0.732
344;702;0.729
345;925;0.727
346;302;0.727
347;801;0.721
348;LECD105;0.718
349;341;0.709
350;783;0.683
351;SR386;0.672
352;SP783;0.67
353;859;0.67
354;915;0.628
355;LECD94;0.62
356;SR378;0.615
357;SP265;0.61
358;426;0.604
359;737;0.599
360;870;0.592
361;756;0.581
362;603;0.577
363;SE867;0.569
364;679;0.561
365;SR388;0.555
366;906;0.555
367;112;0.539
368;884;0.534
369;321;0.456
370;538;0.393
371;809;0.393
372;SV606;0.391
373;558;0.377
374;SV483;0.355
375;363;0.334
376;685;0.332
377;645;0.293
378;810;0.293
379;SV790;0.268
380;757;0.246
381;785;0.23
382;SR355;0.229
383;790;0.052
384;415;0.049
385;110;0.0
